Date,open,high,low,Adjusted_Close,volume
2024-01-03 00:00:00+00:00,14981.0,14981.5,14766.25,14782.25,668351
2024-01-04 00:00:00+00:00,14789.5,14831.5,14680.25,14689.25,551256
2024-01-05 00:00:00+00:00,14699.25,14821.5,14578.5,14704.5,620632
2024-01-08 00:00:00+00:00,14714.25,15055.5,14622.5,15048.0,537623
2024-01-09 00:00:00+00:00,15032.25,15112.75,14902.0,15074.5,597922
2024-01-10 00:00:00+00:00,15073.75,15227.25,15045.75,15189.5,544039
2024-01-11 00:00:00+00:00,15199.25,15301.25,14997.25,15210.5,748573
2024-01-12 00:00:00+00:00,15202.0,15286.75,15110.75,15213.5,587576
2024-01-15 00:00:00+00:00,15206.0,15268.5,15180.5,15213.5,102894
2024-01-16 00:00:00+00:00,15205.25,15278.0,15056.0,15210.75,703577
2024-01-17 00:00:00+00:00,15222.25,15226.25,14933.5,15114.0,705339
2024-01-18 00:00:00+00:00,15098.75,15370.0,15078.5,15354.25,836550
2024-01-19 00:00:00+00:00,15360.25,15715.5,15351.5,15682.75,743817
2024-01-22 00:00:00+00:00,15710.25,15829.25,15678.25,15702.75,625845
2024-01-23 00:00:00+00:00,15705.25,15802.5,15653.75,15775.5,500857
2024-01-24 00:00:00+00:00,15798.25,16037.75,15796.5,15865.25,711434
2024-01-25 00:00:00+00:00,15859.0,15996.25,15786.25,15878.75,702508
2024-01-26 00:00:00+00:00,15815.5,15876.25,15710.25,15771.25,626065
2024-01-29 00:00:00+00:00,15746.25,15960.5,15701.75,15950.25,560766
2024-01-30 00:00:00+00:00,15956.0,15980.0,15711.25,15832.75,547334
2024-01-31 00:00:00+00:00,15659.75,15728.25,15465.75,15486.5,803501
2024-02-01 00:00:00+00:00,15517.5,15891.0,15507.0,15681.0,697672
2024-02-02 00:00:00+00:00,15832.25,16019.75,15709.75,15977.0,750117
2024-02-05 00:00:00+00:00,15940.25,15989.75,15798.5,15944.25,614920
2024-02-06 00:00:00+00:00,15942.75,16013.25,15805.0,15904.25,617029
2024-02-07 00:00:00+00:00,15890.0,16119.75,15874.0,16086.0,603414
2024-02-08 00:00:00+00:00,16100.5,16140.75,16036.5,16112.5,465048
2024-02-09 00:00:00+00:00,16098.5,16315.25,16096.5,16283.5,490828
2024-02-12 00:00:00+00:00,16284.25,16365.75,16155.5,16209.25,533457
2024-02-13 00:00:00+00:00,16172.75,16207.5,15786.25,15921.0,842067
2024-02-14 00:00:00+00:00,15947.25,16131.25,15913.5,16125.25,682995
2024-02-15 00:00:00+00:00,16114.25,16212.5,16024.75,16157.0,653622
2024-02-16 00:00:00+00:00,16196.25,16270.25,15959.25,15988.25,733793
2024-02-19 00:00:00+00:00,15973.5,16051.75,15970.5,15988.25,95847
2024-02-20 00:00:00+00:00,16032.0,16037.25,15696.75,15851.5,783676
2024-02-21 00:00:00+00:00,15817.25,15967.25,15617.0,15781.0,717812
2024-02-22 00:00:00+00:00,15946.75,16331.25,15920.25,16291.75,745762
2024-02-23 00:00:00+00:00,16267.5,16389.0,16190.25,16235.25,651208
2024-02-26 00:00:00+00:00,16205.75,16303.75,16166.25,16221.25,520506
2024-02-27 00:00:00+00:00,16195.25,16284.5,16153.0,16265.25,563122
2024-02-28 00:00:00+00:00,16261.75,16264.0,16090.5,16159.5,546729
2024-02-29 00:00:00+00:00,16114.25,16353.75,16070.25,16327.0,671204
2024-03-01 00:00:00+00:00,16319.25,16617.0,16273.75,16582.5,627961
2024-03-04 00:00:00+00:00,16580.25,16622.0,16478.5,16506.25,560091
2024-03-05 00:00:00+00:00,16490.25,16496.25,16076.75,16174.5,785534
2024-03-06 00:00:00+00:00,16225.25,16418.5,16186.75,16288.5,797730
2024-03-07 00:00:00+00:00,16285.25,16604.25,16160.0,16560.5,740760
2024-03-08 00:00:00+00:00,16523.25,16680.75,16256.75,16291.0,977885
2024-03-11 00:00:00+00:00,16800.5,16808.75,16637.0,16715.25,570958
2024-03-12 00:00:00+00:00,16752.0,16990.0,16673.0,16976.25,676480
2024-03-13 00:00:00+00:00,16968.5,17005.75,16780.75,16827.5,687816
